num,status,pages,time,timestamp
1,Success,8,37.17s,13:43:57
2,Success,8,39.53s,13:44:54
3,Success,8,40.28s,13:45:49
4,Success,8,37.71s,13:46:36
5,Success,8,36.83s,13:47:32
6,Success,8,35.81s,13:48:27
7,Success,9,39.91s,13:49:20
8,Success,8,36.69s,13:50:11
9,Success,8,39.12s,13:51:04
10,Success,9,42.14s,13:52:02
11,Success,9,39.05s,13:52:59
12,Success,9,39.21s,13:53:47
13,Success,8,34.46s,13:54:33
14,Success,8,37.28s,13:55:22
15,Success,8,34.45s,13:56:15
16,Success,8,37.84s,13:56:59
17,Success,8,37.54s,13:57:56
18,Success,8,37.28s,13:58:41
19,Success,10,47.59s,13:59:38
20,Success,8,37.01s,14:00:36
21,Success,11,47.23s,14:01:30
22,Success,8,36.54s,14:02:26
23,Success,10,45.77s,14:03:26
24,Success,8,36.41s,14:04:12
25,Success,9,40.85s,14:05:13
26,Success,8,37.83s,14:05:59
27,Success,8,36.91s,14:06:59
28,Success,8,36.60s,14:07:50
29,Success,8,37.43s,14:08:37
30,Success,10,45.43s,14:09:41
31,Success,9,42.07s,14:10:33
32,Success,8,37.12s,14:11:26
33,Success,9,43.27s,14:12:17
34,Success,8,38.20s,14:13:06
35,Success,8,39.07s,14:13:57
36,Success,11,49.94s,14:14:58
37,Success,8,35.81s,14:15:44
38,Success,8,38.96s,14:16:32
39,Success,8,46.86s,14:17:35
40,Success,11,47.12s,14:18:28
