num,status,time,timestamp
1,Success,27.14s,17:06:15
2,Success,23.39s,17:06:44
3,Success,13.29s,17:07:01
4,Success,12.57s,17:07:19
5,Success,13.34s,17:07:38
6,Success,12.78s,17:07:58
7,Success,12.57s,17:08:14
8,Success,12.69s,17:08:32
9,Success,12.92s,17:08:50
10,Success,12.43s,17:09:08
11,Success,12.89s,17:09:28
12,Success,12.97s,17:09:45
13,Success,12.50s,17:10:02
14,Success,13.64s,17:10:20
15,Success,12.72s,17:10:39
16,Success,13.13s,17:10:59
17,Success,13.37s,17:11:19
18,Success,12.56s,17:11:37
19,Success,13.20s,17:11:56
20,Success,14.09s,17:12:17
21,Success,12.65s,17:12:34
22,Success,12.48s,17:12:51
23,Success,12.84s,17:13:09
24,Success,12.85s,17:13:27
25,Success,11.80s,17:13:45
26,Success,13.51s,17:14:03
27,Success,13.09s,17:14:23
28,Success,14.52s,17:14:41
29,Success,14.03s,17:14:59
30,Success,13.67s,17:15:19
31,Success,13.18s,17:15:39
32,Success,12.64s,17:15:57
